2019-04-28 14:25:47,706 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-28 14:29:33,167 [Worker-5: Creating project "Makaia-Framework"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Makaia-Framework:Makaia-Framework:0.0.1-SNAPSHOT @ D:\Selenium\Selenium_TL_Old\Selenium\Makaia-Framework\pom.xml.
2019-04-28 14:29:33,986 [Worker-5: Creating project "Makaia-Framework"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Makaia-Framework/src/main/java
2019-04-28 14:29:33,988 [Worker-5: Creating project "Makaia-Framework"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Makaia-Framework/src/main/resources
2019-04-28 14:29:33,990 [Worker-5: Creating project "Makaia-Framework"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Makaia-Framework/src/test/java
2019-04-28 14:29:33,990 [Worker-5: Creating project "Makaia-Framework"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Makaia-Framework/src/test/resources
2019-04-28 14:29:35,926 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 14:29:35,934 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-28 14:29:35,936 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 14:29:35,938 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-09 22:26:28,084 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-09 22:26:28,101 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-09 22:26:28,106 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-09 22:26:28,108 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
